848936177,marsiud,11887,458637,263,76
1886309,Lapo%C3%A9l%C3%A9sos,15521,436012,270,38
849052465,Baraka76,15588,85707,344,9
849103794,Shyarlie+Enora,15667,2932,445,1
849098926,Justine,6369,30316,388,7
849103149,jacknapadi,11887,1970,451,1
4169431,boccarossa06,2547,426776,274,42
849054970,Scribe,6369,11346,415,3
849096983,Strobopop,,221,515,1
849082285,Biditchoun,15541,111832,334,13
849016837,Nainkapable,15359,3947,436,2
20711,ttthorgal,15668,6002,426,1
849100286,Couscous+tagine,,3811,439,1
849054056,Britanian,4629,1828646,175,135
849096451,Rimka,,1269,471,1
1393972,IMITH,4629,2200011,155,207
4883879,toctoc,,1070,479,1
849100560,BENzo,2797,43338,377,5
701674,ben21330,,175,520,1
1677160,Mass%C3%A9na,15359,230749,309,23
849095646,Hake,,4473,430,1
848921471,jlbb,,953,489,1
4247039,jijitobaba,14939,228,512,1
849070442,solei,4220,14534,409,2
1470129,Saint+Achille+Akhilleus,10229,77836,351,8
849101797,Gedeon29,15624,2747,446,1
848985825,miltiade68,15672,42159,379,8
849020486,COCO61,,650,494,1
3525673,nene194,15672,1033,482,1
849100742,Ghost11,15667,1614,458,1
849103726,Nyrvana,15672,1156,477,1
849103346,Freezeee,,562,502,1
848946367,benuche35,15274,233743,307,29
1542840,henrick69,15650,3515,443,1
4895054,pastisricard,10229,394939,279,33
849087650,Colr0,6369,82480,346,11
849103126,luciole0886,15624,1039,481,1
849094979,Jaemsdu82370,6369,33362,386,3
4832826,Rateiox,,252,509,1
3270652,gwendoo62,15672,1244,472,1
849097062,MJseven,625,513,507,1
3430193,phdu,,556,503,1
849102483,Kenshicarus,15359,98283,340,10
849095328,ScandaleuxKbhvjbvvh34909,6369,26451,395,8
849081800,Luxurius,15600,3619,441,1
849096898,alex36130,6369,1780,454,1
849094881,Bulldog,6369,5361,427,2
1349118,CHULAK,14643,3606482,119,298
849100749,Darksnows2507,6369,3857,438,2
849082486,Imer19,6369,392442,281,36
849103663,jocelyn49350,,221,514,1
4416740,JAILOO,6369,7184,424,2
1971247,Rand+le+calme,625,12761547,7,931
4082924,diego3,15672,983,487,1
4001515,Naxamos,,583,497,1
4812071,oppac,15465,238394,306,22
849054895,kiezer,6369,67061,365,7
849103655,Rayquaza,15672,577,499,1
849066240,JMCapelle,,532,505,1
849084523,Scred42,,1163,476,1
3443166,NWAWS,15660,27421,394,6
849104275,Maleniiaa,15675,1715,455,1
849102526,DeL-Ba,15359,8353,423,2
744308,xxx26,15667,1416,465,1
849104179,Guildebruck,6369,1372,469,1
849054182,Blakyllex,,4357,432,2
1059637,Lillusionniste,15130,3657823,117,277
849057586,maximus91120,15600,1489,462,1
849102670,kouglotte,,197,519,1
848974615,Wano+Kuni,2547,77242,352,8
849084709,Samsam,15589,25765,396,5
849104278,ItsSeokjin,,221,513,1
77121,helevi,,1107,478,1
849062858,Charlemagne59,2797,2104968,159,155
849033011,lutsu,15654,3882,437,2
849103435,Sans,15667,3540,442,1
849100743,Manaim,15655,12644,411,3
849103481,Izukum,,1996,450,1
849085582,derbantin,15521,228948,310,22
849003182,Clade10,6369,122384,330,13
2564622,drattoc,7613,331425,288,28
1320435,Hiram+Abif,13109,250,510,1
393186,backersfield,,594,496,1
4914563,ingridia,,5274,429,1
848925236,CYRNEA,,241,511,1
848938194,marcob1,15525,82296,347,6
849102465,ditexolop,15665,14989,406,7
849096752,Upoli,,800,493,1
4820234,caeron,,824,491,1
849103937,PLAYER+77,,441,508,1
849096570,rico011,14655,12121,414,1
4462566,gros1919,,3768,440,1
849079470,mans31,6369,110355,335,10
849103668,Anthony+2026,15672,4446,431,2
849101693,Solivagant,,17530,402,3
849094802,Espadon+Fougueux,15624,31176,387,3
849096521,zenit031,14655,12162,413,1
849102785,PotitElfe,15359,1378,468,1
849100862,Lempicka-4,2568,3431,444,1
849102187,centurion02,11887,1229,474,1
1842266,Touifi,15548,336235,287,34
1466840,Vojvod,,819,492,1
849103774,Kilga,15672,1706,456,1
2192819,jujubenaids123,6369,39509,382,5
849061643,-hpfer-,15576,62032,370,5
37071,rococo,15581,22899,399,4
849103912,Eyla,,993,485,1
849057623,canard29870,,580,498,1
2350588,star-hunter,,565,501,1
849100069,Rayanbrh,,2609,448,1
4866910,zeusb007,6369,108952,336,15
2491269,segrin,7613,1323,470,1
849102474,Moguera,,645,495,1
1110287,ToKing,6369,71515,357,11
2449294,TexMex,6369,1267162,197,102
849052861,IlI-PrideStalker-IlI,,1485,463,1
228407,Dexir,4629,2479226,143,216
3530436,NATHANAELOHA7,,3979,435,2
849045316,Nevilli,15624,120320,332,14
370615,Sir+Guingamp,15559,640016,242,49
849095387,anavalrie,15638,30280,389,5
4774798,gg59hesiode,,220,516,1
683056,fouding,4629,301843,290,34
3996065,Ktek,15672,33876,385,4
1078024,le-tite,15649,10468,416,2
2075244,donjon28,4963,1669364,183,189
849044273,noyt,625,565415,253,56
849079995,urka,11887,22161,400,4
849102664,H%C3%A9rodote,15674,1701,457,1
849093005,Dallas2.0,6369,41403,380,10
2567659,rachon333,15359,42712,378,6
849085513,watsolmes,15521,148620,323,19
849064493,steav,625,67564,363,18
849052930,eric+9865,7613,6365,425,2
849082762,esisteban,15521,257897,299,25
849097642,Larmurier,15589,4246,434,2
4388585,Finduilas79,11534,103561,337,17
849104130,Bruno14100,15672,1017,483,1
849090628,DAUGYMON,15672,66198,366,11
849001395,LordBananas,2568,139848,325,15
4311892,nic0b01,6369,101967,338,12
1013305,vicky2000,15545,62526,369,12
7360,roniveque,15672,534,504,1
849103529,kevin3115,15672,15483,405,5
1488647,willydu61,4963,11752005,13,861
849101386,V%C3%A9g%C3%A9ta89,15359,14715,407,4
727881,manu.39,4963,5688888,70,418
849103799,Nath,,571,500,1
849048602,Sebio,6369,72481,356,9
849102495,kouglot,,197,518,1
1717618,snackiller,6369,579598,251,47
849086014,Mercedes,6369,190957,316,22
849057566,Kuruha59,15378,251848,302,30
215977,arnaudbernier,6369,46574,374,6
849095220,Arrow,625,190062,317,19
848896550,papimouzo,6369,74215,354,12
1324486,neohector,,49485,373,5
849104279,ItsSeokjinn,15675,1606,459,1
3745681,Kotani,15664,46529,375,8
849008149,KiraOmbre,4629,604687,245,62
849023877,Alf2010,7613,8561,421,2
4906644,walacel,15447,222856,311,20
848891892,Mocen,2797,8804,419,2
2277926,furibond,15359,246271,305,30
613830,joebix68,4629,14633637,1,1073
722826,miles438,4629,5319076,78,392
38740,NOREN,4963,5479046,73,404
3708223,Corentt%C3%AEn,10229,565278,254,51
2854603,American+XIII,4629,1037754,216,92
849081564,Julien2485,469,131055,327,15
849093785,almasse721,15652,1494,461,1
1687474,KOUYATE,6369,67896,361,10
849089917,hardpunk,6369,220915,313,23
1457157,billloud,4629,528300,257,44
849055223,dioufy,11887,16889,404,3
1790666,aladin630,4629,922430,222,110
618197,For+Poseidon,,877,490,1
849096512,titeuf,14655,12185,412,1
4328865,Emrys1597,11887,232603,308,21
263677,esmheralda,4629,9005260,27,667
849042186,Chibrax76-,15672,1004,484,1
788545,germaine136,2547,6802793,58,514
1944560,Leglandeur92,4963,9305204,25,680
421488,Mythriomid%C3%A9e,14962,848897,228,69
849090540,Chatouilleur,4629,452450,264,36
848953976,Ath%C3%A9na%C3%AFs2307,6369,1855079,174,146
849103039,ljmdjfmdiofdm,15624,1866,453,1
1204859,romainp16,6234,72650,355,11
848308,squalerik,4629,268210,297,35
3753151,cemwamem,10229,93858,341,11
848906341,asteria56,6369,444381,268,36
849103807,Ishibhuku,15672,1392,467,1
1917871,03jules,15359,85444,345,13
4443132,Dom030567,2568,68580,360,5
3109300,Isohypse,469,256913,300,36
1773508,Icaredison,4963,7318929,50,539
849032312,Jerem+le+conquerant,15309,1172082,203,99
4211777,Herm%C3%A8s+Ail%C3%A9,4963,4669257,90,352
2838139,raiy,15477,506114,260,46
4072513,Prestro,9741,7419741,45,541
932346,petitbandit,15130,2176730,156,166
849101826,Triphasor,15359,8802,420,2
1785685,nicolas+D1,15678,1192,475,1
109430,Cinthus,15677,7415213,46,543
848918202,Lea666,,246888,304,18
848892201,zxr750r,15247,75605,353,17
849053695,TOTO181123,15359,352451,286,37
1110109,hadessamafr,4629,4185063,105,312
4758977,sblobby,11887,144105,324,19
1343843,gabare,15585,2295443,152,173
570985,lemort39,4629,669327,232,58
848926174,Fla57320,11887,27432,392,2
1412613,kyanos,15039,3546862,120,304
1687361,ggdm1,2568,9964737,18,734
849082391,F%C3%A9line75,15589,28649,390,5
849094304,Tchoopolis84,15624,1956,452,1
1371874,LeGrizzly,4963,13446361,6,981
849081602,TatieMag,,1405,466,1
1786558,bois-colombes,4629,12759369,8,933
169058,arnaud49,15098,148879,322,19
4510872,Jule32,,14366,410,3
4242043,fautvoir21,15265,600623,246,56
1144513,titi+999,4629,394208,280,34
849103216,selenacatrix,,1235,473,1
848940660,Afreu,4629,899989,223,107
1762376,dedel03,4963,11750389,14,866
1356374,kaisersos%C3%A9,2797,2261575,153,188
849081216,topilouf,15521,418135,277,34
4645712,steve.0,15207,2391766,148,179
948379,Metroid67,625,8190473,33,605
848942967,peric113,2797,4654664,91,408
2937274,Fourtou,15130,3000611,134,276
285144,max77350,15673,1049,480,1
849052902,justo64,15518,122373,331,13
3533984,Thorgal25,15039,1221283,201,99
4098162,ZORBECLEGRAS,13938,7662575,40,567
849098850,noob00,,986,486,1
3123223,le+poulbot,4629,3534558,121,341
4365139,MisterBack,15624,521,506,1
849086557,Ratatouille17,15573,352946,285,34
3531872,jordalyne,11534,329854,289,38
1317333,djney,4629,1543882,185,126
1298422,Maureen881,469,90755,343,13
781488,jugui,4629,11059916,15,820
1681513,matlili3,13511,2372665,151,194
1931319,marseillais02300,4629,4362627,103,389
1087174,alph%C3%A9e50,11427,6590052,60,486
4826087,jogger,469,45706,376,9
1948293,jyulandoli,4963,564891,255,61
849042809,ymt16735,4629,1200103,202,89
849100095,TonChat,,70457,358,8
4657385,BrEwArDe,625,5790909,68,458
920494,Brutus69,15609,51671,372,7
3053728,Titofff,2797,14170297,2,1034
849062516,Derrug,,219,517,1
1235052,symmaque3,6369,2718,447,1
2095648,Mitsumasa+Kido,4963,5139716,80,376
1867727,coup-mouss,11534,4992149,86,365
3204869,Bentow,4963,6566471,62,568
20587,alyriam,15359,25448,397,3
1176796,bedoul,15670,2464,449,1
4409002,gege824,4629,5587233,72,414
177982,Asclepsios,4963,4535459,93,331
4910143,Carthagenus,15666,1361517,191,115
4071369,Steven-009,4629,666526,235,50
4892836,shelby80320,,651917,238,59
849079985,dakaz76,4629,994889,219,76
2598201,minotaure08,4629,13651893,4,1015
4849442,barcus64,2568,7494963,42,547
2928748,reexana69,15130,2397274,147,220
849102964,Snoopnoob,6369,1442,464,1
4735017,Brakus,14828,79507,350,6
1208925,Yggr,13938,8674612,31,871
189623,dobigny.n,10229,6897394,55,541
849070468,BETTYBOOP,15486,118355,333,28
848881547,Azelma,14892,1894316,171,187
4524352,HELIOSPARTOS,4629,5000994,85,390
920053,CIRE72,,11884361,12,868
849081933,Furyia,2797,158574,321,20
4906567,MissLazu,6369,3522567,122,308
849046108,Hinuir,2797,1279333,196,103
4070907,florianh89,10229,552241,256,48
186193,MICHELBRU,4629,6806970,57,503
335335,taxi72009,469,4813802,88,422
1518052,R.L19,4629,1302776,194,117
483014,totor777,4629,4257790,104,362
3222309,bissaquine,15593,251719,303,27
1650239,MnouMomo,625,13998218,3,1031
